"organizacion","rubro","subrubro","calle","numero","pais","provincia","ciudad","telefono","facebook","web","programa","fecha_distincion","fecha_revalidacion"
"Hotel Vista Suites","Alojamiento","Hotel 4 estrellas","Avenida Presidente Illia","526","Argentina","San Luis","San Luis",NA,NA,NA,"Programa de Excelencia en Gestión",2012-12-31,NA
"Mirador del Lago Hotel","Alojamiento","Hotel sin categorizar","Avenida del Libertador","2047","Argentina","Santa Cruz","El Calafate","(2902) 49-3213",NA,NA,"Programa de Excelencia en Gestión",2012-12-31,NA
"Rincón del Calafate","Alojamiento","Hotel sin categorizar","Calle 700","273","Argentina","Santa Cruz","El Calafate","(2902) 49-4091",NA,NA,"Programa de Excelencia en Gestión",2012-12-31,NA
"Hotel Jesús María","Alojamiento","Hotel sin categorizar","Alamafuerte","177","Argentina","Córdoba","Jesus María","(3525) 44-5888",NA,NA,"Programa de Excelencia en Gestión",2012-12-31,NA
"Destefanis Travel","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","General Alvear","286","Argentina","Córdoba","Córdoba","(0351) 568-5110",NA,NA,"Programa de Excelencia en Gestión",2012-12-31,NA
"Empresa Hotel Sierra Nevada","Gastronomía","Restaurante","Avenida del Libertador","1860","Argentina","Santa Cruz","El Calafate","(292) 49-3129",NA,NA,"Programa de Excelencia en Gestión",2012-12-31,NA
"Hotel Kauyatun","Alojamiento","Estancia","Salta","313","Argentina","Santa Cruz","El Calafate","(2902) 49-1059",NA,NA,"Programa de Excelencia en Gestión",2012-12-31,NA
"Calafate Parque","Alojamiento","Hotel sin categorizar","Gobernador Gregores","S/N","Argentina","Santa Cruz","El Calafate","(2902) 49-2970",NA,NA,"Programa de Excelencia en Gestión",2012-12-31,NA
"Restaurante Patagonia","Gastronomía","Restaurante","Marcelo Torcuato de Alvear","2087","Argentina","Santa Cruz","El Calafate","(2902) 49-6123",NA,NA,"Programa de Excelencia en Gestión",2012-12-31,NA
"La Tablita Restaurant","Gastronomía","Restaurante","Coronel Rosales","28","Argentina","Santa Cruz","El Calafate","(2902) 49-1065",NA,NA,"Programa de Excelencia en Gestión",2012-12-31,NA
"Se - Tur Servicios Turísticos","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Avenida General Paz","192","Argentina","Córdoba","Córdoba","(0351) 420-4700",NA,NA,"Norma IRAM SECTUR 42910 - Empresas Intermediadoras de Servicios Turísticos",2013-02-19,NA
"Fundación Urunday","Actividad Cultural","Museo","Avenida de los Inmigrantes","1001","Argentina","Chaco","Resistencia","(03624) 41-5020",NA,NA,"Buenas Prácticas en Destinos",2013-03-08,NA
"Hotel de Campo Doña Lola","Alojamiento","Casa Rural","Zona Rural Colonia Benítez","S/N","Argentina","Chaco","Colonia Benítez",NA,NA,NA,"Buenas Prácticas en Destinos",2013-03-08,NA
"Asoc PropDe Taxis de Resistencia","Transporte turístico","Taxi","José Alsina","157","Argentina","Chaco","Resistencia","(03624) 41-1410",NA,NA,"Buenas Prácticas en Destinos",2013-03-08,NA
"Transporte Direrencial Mooney","Transporte turístico","Transporte Turístico","Ruta N° 11 Km 1003","S/N","Argentina","Chaco","Resistencia","(03624) 93-0290",NA,NA,"Buenas Prácticas en Destinos",2013-03-08,NA
"Oficina de Información Turística Provincial","Organismo Público","Oficina de Informes","Sarmiento","1675","Argentina","Chaco","Resistencia","(03624) 43-8880",NA,NA,"Buenas Prácticas en Destinos",2013-03-08,NA
"Chopperia Restaurante Baco","Gastronomía","Restaurante","Avenida Avalos","572","Argentina","Chaco","Resistencia",NA,NA,NA,"Buenas Prácticas en Destinos",2013-03-08,NA
"Identidad","Comercio turístico","Artesanías","Avenida San Martín","475","Argentina","Chaco","Resistencia",NA,NA,NA,"Buenas Prácticas en Destinos",2013-03-08,NA
"Museo del Hombre Chaqueño","Actividad Cultural","Museo","Juan B Justo","280","Argentina","Chaco","Resistencia","(03624) 45-3005",NA,NA,"Buenas Prácticas en Destinos",2013-03-08,NA
"Museo Isla del Cerrito","Actividad Cultural","Museo","Casco Urbano","S/N","Argentina","Chaco","Isla del Cerrito","(03624) 49-6296",NA,NA,"Buenas Prácticas en Destinos",2013-03-08,NA
"Nanas de Cebollas","Gastronomía","Restaurante","Avenida Paraguay","38","Argentina","Chaco","Resistencia",NA,NA,NA,"Buenas Prácticas en Destinos",2013-03-08,NA
"Hotel Marconi","Alojamiento","Hotel 3 estrellas","Juan Domingo Perón","352","Argentina","Chaco","Resistencia","(0362) 442-1978",NA,NA,"Buenas Prácticas en Destinos",2013-03-08,NA
"Vagabundos","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Necochea","330","Argentina","Chaco","Resistencia","(3722) 42-2597",NA,NA,"Buenas Prácticas en Destinos",2013-03-08,NA
"Complejo Turístico Caparcona","Alojamiento","Hotel sin categorizar","Avenida 1","1749","Argentina","Buenos Aires","Villa Gesell","(02255) 46-2209",NA,NA,"Buenas Prácticas en Destinos",2013-03-15,NA
"Apart Hotel Torre del Sol","Alojamiento","Apart Hotel","Playa E/ Paseos","131 y 132","Argentina","Buenos Aires","Villa Gesell","(02255) 46-6630",NA,NA,"Buenas Prácticas en Destinos",2013-03-15,NA
"Oficina de Información Turística Centro","Organismo Público","Oficina de Informes","Paseo","107","Argentina","Buenos Aires","Villa Gesell","(02255) 47-8062",NA,NA,"Buenas Prácticas en Destinos",2013-03-15,NA
"Museo y Archivo Histórico Municipal de Villa Gesell","Actividad Cultural","Museo","Alameda 201 y Calle 303","S/N","Argentina","Buenos Aires","Villa Gesell","(02255) 46-8624",NA,NA,"Buenas Prácticas en Destinos",2013-03-15,NA
"Oficina de Información Turística Norte","Organismo Público","Oficina de Informes","Avenida Buenos Aires","1921","Argentina","Buenos Aires","Villa Gesell","(02255) 45-6859",NA,NA,"Buenas Prácticas en Destinos",2013-03-15,NA
"Rincón del Duende","Alojamiento","Cabañas","Virazón y Cuyo","S/N","Argentina","Buenos Aires","Mar de Las Pampas","(02255) 47-9866",NA,NA,"Buenas Prácticas en Destinos",2013-03-15,NA
"Hotel Acquamarina","Alojamiento","Hotel sin categorizar","Avenida 1","759","Argentina","Buenos Aires","Villa Gesell","(02255) 46-6031",NA,NA,"Buenas Prácticas en Destinos",2013-03-15,NA
"Village de Las Pampas","Alojamiento","Apart Hotel","Corvina entre Joaquín V Gonzalez y Mercedes Sosa","S/N","Argentina","Buenos Aires","Mar de Las Pampas","(02255) 45-4243",NA,NA,"Buenas Prácticas en Destinos",2013-03-15,NA
"Villa Gesell Spa & Resort","Alojamiento","Apart Hotel","Avenida Costanera","736","Argentina","Buenos Aires","Villa Gesell","(02255) 46-2020",NA,NA,"Buenas Prácticas en Destinos",2013-03-15,NA
"Palazzo Ariete Hotel","Alojamiento","Hotel 4 estrellas","Avenida 1","472","Argentina","Buenos Aires","Villa Gesell","(02255) 45-4800",NA,NA,"Buenas Prácticas en Destinos",2013-03-15,NA
"Parador Turístico Mar de Las Pampas","Organismo Público","Oficina de Informes","Avenida El Lucero y Mercedes Sosa","S/N","Argentina","Buenos Aires","Mar de Las Pampas","(02255) 47-0324",NA,NA,"Buenas Prácticas en Destinos",2013-03-15,NA
"Alta Playa","Alojamiento","Apart Hotel","Calle 29 y Boulevard Marítimo","S/N","Argentina","Buenos Aires","Las Gaviotas","(02255) 47-5417",NA,NA,"Buenas Prácticas en Destinos",2013-03-15,NA
"Don Bosco","Enoturismo","Producción y Degustación","Ruta Provincial 50","6722","Argentina","Mendoza","Maipú","(0261) 495-1120",NA,NA,"Directrices de Gestión Turística de Bodegas",2011-10-21,2018-12-05
"Parque Nacional Iguazú","Área Natural Protegida","Parque Nacional","Área Cataratas CC","24","Argentina","Misiones","Cataratas del Iguazú","(03757) 49-1469",NA,NA,"Directrices de Accesibilidad",2013-03-27,NA
"Etchart","Enoturismo","Producción y Degustación","Ruta Nacional 40","Km 4338","Argentina","Salta","Cafayate","(03868) 42-1310",NA,NA,"Directrices de Gestión Turística de Bodegas",2013-04-18,NA
"Antigua Bodega La Banda Vasija Secreta","Enoturismo","Producción y Degustación","Ruta Nacional 40 y Ruta Provincial 68","S/N","Argentina","Salta","Cafayate","(03868) 42-1850",NA,NA,"Directrices de Gestión Turística de Bodegas",2013-04-18,NA
"Viñas de Animaná","Enoturismo","Producción y Degustación","Ruta Nacional 40","Km 4355","Argentina","Salta","Animaná","(03868) 49-2019",NA,NA,"Directrices de Gestión Turística de Bodegas",2013-04-18,NA
"Domingo Hermanos","Enoturismo","Producción y Degustación","Nuestra Señora del Rosario y 25 de Mayo","S/N","Argentina","Salta","Cafayate","(03868) 42-1225",NA,NA,"Directrices de Gestión Turística de Bodegas",2013-04-18,NA
"Domingo Molina","Enoturismo","Producción y Degustación","Ruta Nacional 40","Km 4313","Argentina","Salta","Cafayate","(0381) 430-0666",NA,NA,"Directrices de Gestión Turística de Bodegas",2013-04-18,NA
"Piatelli Vineyards - Salta","Enoturismo","Producción y Degustación","Camino a San Pedro de Yacoyuya","S/N","Argentina","Salta","Cafayate",NA,NA,NA,"Directrices de Gestión Turística de Bodegas",2013-04-18,NA
"Bodega José Luis Mounier-Finca Las Nubes","Enoturismo","Producción y Degustación","Finca Las Nubes - El Divisadero","S/N","Argentina","Salta","Cafayate","(03868) 42-2129",NA,NA,"Directrices de Gestión Turística de Bodegas",2013-04-18,NA
"Hoy Servicios","Enoturismo","Producción y Degustación","Avenida Güemes Sur","222","Argentina","Salta","Cafayate","(03868) 42-1283",NA,NA,"Directrices de Gestión Turística de Bodegas",2013-04-18,NA
"La Casa de la Bodega","Enoturismo","Producción y Degustación","Ruta Nacional 68","Km 185","Argentina","Salta","Cafayate","(3868) 49-2056",NA,NA,"Directrices de Gestión Turística de Bodegas",2013-04-18,NA
"Arcas de Tolombon","Enoturismo","Visitas guiadas con degustación","Ruta Nacional 40","Km 4313","Argentina","Tucumán","Colalao del Valle","(0381) 430-0666",NA,NA,"Directrices de Gestión Turística de Bodegas",2013-04-18,NA
"Silvia Magno","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Alvarado","1474","Argentina","Salta","Salta","(0387) 0421-9203",NA,NA,"Norma IRAM SECTUR 42910 - Empresas Intermediadoras de Servicios Turísticos",2013-05-21,NA
"Caracol Internacional Viajes y Turismo","Agencia de Viajes","Empresa de viajes y Turismo (EVT)","Avenida Victoria Aguirre","563","Argentina","Misiones","Puerto Iguazú","(03757) 0042-0064",NA,NA,"Norma IRAM SECTUR 42910 - Empresas Intermediadoras de Servicios Turísticos",2013-05-21,NA
"Subsecretaría de Turismo de la Provincia de Neuquén","Organismo Público","Subsecretaría","Félix San Martín","182","Argentina","Neuquén","Neuquén","(0299) 442-4089",NA,NA,"Sistema de Gestión, alineado a las bases del Premio  Nacional a la Calidad",2013-06-01,NA
"Posada del Gobernador","Alojamiento","Posada","18 de Julio","205","Uruguay",NA,"Colonia de Sacramento",NA,NA,NA,"Sistema Inicial de Gestión Organizacional",2013-06-04,NA
"Pastas El Gordo","Gastronomía","Bar","Daymán","565","Uruguay",NA,"Colonia de Sacramento",NA,NA,NA,"Sistema Inicial de Gestión Organizacional",2013-06-04,NA
"Acuario Colonia","Actividad Cultural","Centro de Interpretación","Cevallos","236","Uruguay",NA,"Colonia de Sacramento",NA,NA,NA,"Sistema Inicial de Gestión Organizacional",2013-06-04,NA
"Los Tres Botones","Actividad Cultural","Centro de Interpretación","San Pedro","S/N","Uruguay",NA,"Colonia de Sacramento",NA,NA,NA,"Sistema Inicial de Gestión Organizacional",2013-06-04,NA
"Posada El Capullo","Alojamiento","Posada","18 de Julio","219","Uruguay",NA,"Colonia de Sacramento",NA,NA,NA,"Sistema Inicial de Gestión Organizacional",2013-06-04,NA
"Irene's","Gastronomía","Restaurante","General Flores","441","Uruguay",NA,"Colonia de Sacramento",NA,NA,NA,"Sistema Inicial de Gestión Organizacional",2013-06-04,NA
"Posadas Terrazas","Alojamiento","Posada","Manuel Lobo","281","Uruguay",NA,"Colonia de Sacramento",NA,NA,NA,"Sistema Inicial de Gestión Organizacional",2013-06-04,NA
"Posada del Bosque","Alojamiento","Posada","Acevedo Díaz","1775","Uruguay",NA,"Colonia de Sacramento",NA,NA,NA,"Sistema Inicial de Gestión Organizacional",2013-06-04,NA
"Buen Suspiro","Gastronomía","Restaurante","Suspiros","90","Uruguay",NA,"Colonia de Sacramento",NA,NA,NA,"Sistema Inicial de Gestión Organizacional",2013-06-04,NA
"La Pasiva","Gastronomía","Restaurante","General Flores","444","Uruguay",NA,"Colonia de Sacramento",NA,NA,NA,"Sistema Inicial de Gestión Organizacional",2013-06-04,NA
"El Mesón de la Plaza","Gastronomía","Restaurante","Vasconsello","153","Uruguay",NA,"Colonia de Sacramento",NA,NA,NA,"Sistema Inicial de Gestión Organizacional",2013-06-04,NA
"Colonia Shopping","Comercio turístico","Mercado","Roosvelt","458","Uruguay",NA,"Colonia de Sacramento",NA,NA,NA,"Sistema Inicial de Gestión Organizacional",2013-06-04,NA
"Lares - Agencia de Viajes","Agencia de Viajes","Empresa de Viajes y Turismo (EVT) Receptiva y emisiva","Odriozola 434 Bit","S/N","Uruguay",NA,"Colonia de Sacramento",NA,NA,NA,"Sistema Inicial de Gestión Organizacional",2013-06-04,NA
"Cervecería Barbot Guker","Gastronomía","Bar","Washington Barbot","160","Uruguay",NA,"Colonia de Sacramento",NA,NA,NA,"Sistema Inicial de Gestión Organizacional",2013-06-04,NA
"Iemanja EVyT","Agencia de Viajes","Empresa de viajes y Turismo (EVT)","Jangadero","132","Argentina","Misiones","Puerto Iguazú","(03757) 420390",NA,NA,"Norma IRAM SECTUR 42910 - Empresas Intermediadoras de Servicios Turísticos",2013-06-18,NA
"Complejo El Plata","Alojamiento","Cabañas","Camino a Vallecito - Piedras Blancas","S/N","Argentina","Mendoza","Potrerillos","(02614) 31-8428",NA,NA,"Buenas Prácticas en Destinos",2013-06-25,NA
"El Pinar de La Ventana","Alojamiento","Cabañas","Camino Unión Vallecito y Valle del Sol","S/N","Argentina","Mendoza","Potrerillos","(02614) 26-2756",NA,NA,"Buenas Prácticas en Destinos",2013-06-25,NA
"Mirador Casas de la Montaña","Alojamiento","Cabañas","Avenida Del Sol","S/N","Argentina","Mendoza","Potrerillos",NA,NA,NA,"Buenas Prácticas en Destinos",2013-06-25,NA
"Desnivel (Turismo Aventura)","Actividad recreativa y deportiva","Turismo Aventura","Ruta 7 y Ruta 52","S/N","Argentina","Mendoza","Uspallata",NA,NA,NA,"Buenas Prácticas en Destinos",2013-06-25,NA
"Argentina Rafting Expediciones","Actividad recreativa y deportiva","Turismo Aventura","Ruta 7","Km 63","Argentina","Mendoza","Potrerillos",NA,NA,NA,"Buenas Prácticas en Destinos",2013-06-25,NA
"Chocolatería y Artesanía Aconcagua","Comercio turístico","Chocolateria","Ruta 7","S/N","Argentina","Mendoza","Uspallata",NA,NA,NA,"Buenas Prácticas en Destinos",2013-06-25,NA
"Ushpaventura Viajes","Actividad recreativa y deportiva","Senderismo","Ruta 52 y Ruta 7","S/N","Argentina","Mendoza","Uspallata",NA,NA,NA,"Buenas Prácticas en Destinos",2013-06-25,NA
"Tierra de Luna","Alojamiento","Cabañas","Francisco Mazzoni y Calle Las Nieves","S/N","Argentina","Mendoza","Potrerillos",NA,NA,NA,"Buenas Prácticas en Destinos",2013-06-25,NA
"Los Negritos","Gastronomía","Restaurante","Los Olmos","S/N","Argentina","Mendoza","Potrerillos",NA,NA,NA,"Buenas Prácticas en Destinos",2013-06-25,NA
"El Montañés","Alojamiento","Cabañas","Ruta Internacinal 7","Km 1148","Argentina","Mendoza","Uspallata","(02624) 42-0105",NA,NA,"Buenas Prácticas en Destinos",2013-06-25,NA
"Hotel Los Cóndores","Alojamiento","Cabañas","Las Heras","S/N","Argentina","Mendoza","Uspallata","(02624) 42-0002",NA,NA,"Buenas Prácticas en Destinos",2013-06-25,NA
"Pueblo del Río","Alojamiento","Cabañas","Garay","30","Argentina","Mendoza","Godoy Cruz","(0261) 424-6745",NA,NA,"Buenas Prácticas en Destinos",2013-06-25,NA
"Informador Turístico de la Dirección de Turismo Luján de Cuyo","Organismo Público","Dirección","San Martín","250","Argentina","Mendoza","Luján de Cuyo","(0261) 498-9979",NA,NA,"Buenas Prácticas en Destinos",2013-06-25,NA
"Informador Turístico de la Dirección de Turismo Las Heras","Organismo Público","Oficina de Informes","San Miguel","1434","Argentina","Mendoza","Uspallata","(02614) 37-8132",NA,NA,"Buenas Prácticas en Destinos",2013-06-25,NA
"Valle Andino","Alojamiento","Cabañas","Ruta 7","S/N","Argentina","Mendoza","Uspallata","(02624) 42-0095",NA,NA,"Buenas Prácticas en Destinos",2013-06-25,NA
"Vistalba","Enoturismo","Producción y Degustación","Roque Sáenz Peña","3531","Argentina","Mendoza","Luján de Cuyo","(0261) 498-9400",NA,NA,"Directrices de Gestión Turística de Bodegas",2011-10-21,2018-12-05
"O´Fournier","Enoturismo","Producción y Degustación","Calle los Indios","S/N","Argentina","Mendoza","La Consulta","(0261) 467-1021",NA,NA,"Directrices de Gestión Turística de Bodegas",2011-10-21,2018-12-05
"Finca Decero","Enoturismo","Producción y Degustación","Bajo Las Cumbre","9003","Argentina","Mendoza","Luján de Cuyo","(0261) 524-4747",NA,NA,"Directrices de Gestión Turística de Bodegas",2011-10-21,2018-12-05
"Renacer","Enoturismo","Producción y Degustación","Brandsen","1863","Argentina","Mendoza","Luján de Cuyo","(0261) 524-4416",NA,NA,"Directrices de Gestión Turística de Bodegas",2011-10-21,2018-12-05
"Mendel","Enoturismo","Producción y Degustación","Terrada","1863","Argentina","Mendoza","Luján de Cuyo","(0261) 524-1621",NA,NA,"Directrices de Gestión Turística de Bodegas",2011-10-21,2018-12-05
"La Vizchacha","Gastronomía","Restaurante","Vice Almirante O'Connor","630","Argentina","Río Negro","San Carlos de Bariloche","(0294) 442-2109",NA,NA,"Directrices de Accesibilidad",2013-06-28,NA
"Sol y Paz Accesible","Alojamiento","Cabañas","Pájaros Azules","374","Argentina","Río Negro","San Carlos de Bariloche","(0294) 446-2556",NA,NA,"Directrices de Accesibilidad",2013-06-28,NA
"Catamarán Cau Cau","Actividad recreativa y deportiva","Excursion fluvial","Mitre","139","Argentina","Río Negro","San Carlos de Bariloche","(0294) 443-1372",NA,NA,"Directrices de Accesibilidad",2013-06-28,NA
"Tapíz","Enoturismo","Producción y Degustación","Ruta 15","Km 32","Argentina","Mendoza","Luján de Cuyo","(0261) 490-0202",NA,NA,"Directrices de Gestión Turística de Bodegas",2011-10-21,2018-12-05
"Andeluna","Enoturismo","Producción y Degustación","Avenida Circunvalación","S/N","Argentina","Mendoza","Tupungato",NA,NA,NA,"Directrices de Gestión Turística de Bodegas",2011-10-21,2018-12-05
"Viña El Cerno","Enoturismo","Producción y Degustación","Perito Moreno","631","Argentina","Mendoza","Maipú","(0261) 481-1567",NA,NA,"Directrices de Gestión Turística de Bodegas",2011-10-21,2018-12-05
"Atamisque","Enoturismo","Producción y Degustación","La Gloria","2054","Argentina","Mendoza","Tupungato","(0261) 203-7870",NA,NA,"Directrices de Gestión Turística de Bodegas",2011-10-21,2018-12-05
"Dante Robino","Enoturismo","Producción y Degustación","Quintana","375","Argentina","Mendoza","Luján de Cuyo","(0261) 488-2050",NA,NA,"Directrices de Gestión Turística de Bodegas",2011-10-21,2018-12-05
"Sheraton Salta Hotel","Alojamiento","Hotel 5 estrellas","Coronel Francisco de Uriondo","330","Argentina","Salta","Salta","(0387) 432-3000",NA,NA,"Directrices de Accesibilidad",2013-07-05,NA
"Fundación Museo de los Niños","Actividad Cultural","Museo","Junín","501","Argentina","Santa Fe","Rosario","(0341) 410-6500",NA,NA,"Directrices para Turismo Familiar",2013-08-02,NA
"Howard Johnson Hotel Rosario","Alojamiento","Hotel 4 estrellas","Italia","1183","Argentina","Santa Fe","Rosario","(0341) 449-0770",NA,NA,"Directrices para Turismo Familiar",2013-08-02,NA
"La Huella","Gastronomía","Restaurante","Entre Ríos","1702","Argentina","Santa Fe","Rosario","(0341) 485-2664",NA,NA,"Directrices para Turismo Familiar",2013-08-02,NA
"El Jardín de los Niños","Actividad Cultural","Centro Cultural","Lugones Leopoldo","2290","Argentina","Santa Fe","Rosario","(0341) 4802421",NA,NA,"Directrices para Turismo Familiar",2013-08-02,NA
"Complejo Astronómico","Actividad Cultural","Centro Cultural","Avenida Diario La Capital","1602","Argentina","Santa Fe","Rosario","(0341) 802554",NA,NA,"Directrices para Turismo Familiar",2013-08-02,NA
"La Isla de los Inventos","Actividad Cultural","Centro Cultural","Wheelwright Guillermo","1402","Argentina","Santa Fe","Rosario","(0341) 4802571",NA,NA,"Directrices para Turismo Familiar",2013-08-02,NA
"La Granja de la Infancia","Actividad Cultural","Centro Cultural","Presidente Juan Domingo Perón","8000","Argentina","Santa Fe","Rosario","(0341) 4807848",NA,NA,"Directrices para Turismo Familiar",2013-08-02,NA
"Reposo del Diablo","Alojamiento","Hotel 3 estrellas","Alverro","1049","Argentina","Jujuy","Tilcara","(0388) 49-5907",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-07,NA
"La Posada del Río Tanpu Mayu","Alojamiento","Hostería","Avenida Costanera","625","Argentina","Jujuy","Tilcara","(0388) 495-7042",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-07,NA
"Caravana de Llamas","Actividad recreativa y deportiva","Senderismo","Belgrano","380","Argentina","Jujuy","Tilcara","(0388) 15-408-8000",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-07,NA
"Altitud Norte","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Ernesto Padilla","S/N","Argentina","Jujuy","Tilcara",NA,NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-07,NA
"La Posada de Don Juan","Alojamiento","Posada","Lavalle","1064","Argentina","Jujuy","Tilcara","(0388) 95-5422",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-07,NA
"Antigua Tilcara","Alojamiento","Hotel sin categorizar","Calle Sorpresa","484","Argentina","Jujuy","Tilcara",NA,NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-07,NA
"Pumahuasi Hostal Boutique","Alojamiento","Boutique","Avenida San Martín y Ruta Nacional 52","S/N","Argentina","Jujuy","Purmamarca","(03884) 90-8064",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-07,NA
"Posada de Luz","Alojamiento","Posada","Ambrosetti","661","Argentina","Jujuy","Tilcara","(0388) 495-5748",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-07,NA
"Hostal Posta de Purmamarca","Alojamiento","Hostal","Santa Rosa","S/N","Argentina","Jujuy","Purmamarca","(0388) 490-8029",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-07,NA
"El Patio","Gastronomía","Restaurante","Lavalle","352","Argentina","Jujuy","Tilcara",NA,NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-07,NA
"Hotel Huacalera","Alojamiento","Hotel sin categorizar","Ruta Nacional 9","Km 1790","Argentina","Jujuy","Huacalera","(0388) 15-581-3417",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-07,NA
"Marqués de Tojo","Alojamiento","Boutique","Pasaje Santa Rosa","4","Argentina","Jujuy","Purmamarca","(0388) 411-6001",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-07,NA
"Cabañas Mirador del Virrey","Alojamiento","Cabañas","Ruta Nacional 52","Km 44","Argentina","Jujuy","Purmamarca","(03884) 01-2042",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-07,NA
"Casa de Adobe","Alojamiento","Hotel 3 estrellas","Ruta 52","Km 45","Argentina","Jujuy","Purmamarca","(0388) 490-8003",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-07,NA
"Las Marías Hotel Boutique","Alojamiento","Boutique","Sorpresa","573","Argentina","Jujuy","Tilcara","(0388) 495-5525",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-07,NA
"Club Hostel Tilcara","Alojamiento","Hostal","Jujuy","549","Argentina","Jujuy","Tilcara",NA,NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-07,NA
"Terrazas de Tilcara","Alojamiento","Hotel sin categorizar","Calle de La Sopresa Esquina San Martín","S/N","Argentina","Jujuy","Tilcara","(03884) 95-5589",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-07,NA
"Patio Alto Stay & Trip","Alojamiento","Hotel sin categorizar","Torrico (Esquina Alverro)","675","Argentina","Jujuy","Tilcara","(03884) 95-5792",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-07,NA
"Rincones de Jujuy","Alojamiento","Hotel sin categorizar","Belgrano","535","Argentina","Jujuy","Tilcara","(03884) 95-5106",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-07,NA
"Alta Montaña Hostel","Alojamiento","Hostel","Rivadavia","652","Argentina","Jujuy","Tilcara","(03884) 95-5881",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-07,NA
"Iruyito","Alojamiento","Hostería","San Martín","1304","Argentina","Jujuy","Maimará","(0388) 499-7097",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-07,NA
"El Nuevo Progreso","Gastronomía","Restaurante","Lavalle","351","Argentina","Jujuy","Tilcara","(0388) 495-5237",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-07,NA
"Arumi Cocina de Autor","Gastronomía","Restaurante","Lavalle","660","Argentina","Jujuy","Tilcara",NA,NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-07,NA
"Apart Hotel Bella Vista","Alojamiento","Apart Hotel","Sarmiento y Chubut","S/N","Argentina","Misiones","Oberá","(03755) 42-1386",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-09,NA
"Confitería Alemana","Gastronomía","Confitería","Salta","42","Argentina","Misiones","Oberá","(03755) 42-3067",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-09,NA
"Finca Santa Anita","Alojamiento","Estancia","Piedras Moradas","S/N","Argentina","Salta","Coronel Moldes",NA,NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-09,NA
"Azul Apart Hotel","Alojamiento","Apart Hotel","Avenida de Las Americas","924","Argentina","Misiones","Oberá",NA,NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-09,NA
"Parrilla Comedor Pagano","Gastronomía","Restaurante","Obligado","501","Argentina","Santa Fe","Reconquista","(03482) 42-6963",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-09,NA
"La Posada de Juan","Alojamiento","Hostería","Ruta 47 Camino del Dique de Cabra Corral","Km 35","Argentina","Salta","Coronel Moldes",NA,NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-09,NA
"Paradise","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Avenida Corrientes","2150","Argentina","Misiones","Posadas","(0376) 448-1505",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-09,NA
"El Cruce Restorant","Gastronomía","Restaurante","Ruta Nacional 11","Km 787","Argentina","Santa Fe","Reconquista","(03482) 42-1253",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-09,NA
"El Rancho Asador Criollo","Gastronomía","Restaurante","Avenida Roque Perez","1292","Argentina","Misiones","Posadas","(03764) 42-1666",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-09,NA
"Transporte de Pasajeros Nardelly","Transporte turístico","Transporte Turístico","Patricio Diez","1004","Argentina","Santa Fe","Reconquista","(03482) 44-9029",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-09,NA
"Hotel Ycholay","Alojamiento","Hotel 3 estrellas","Yrigoyen","836","Argentina","Santa Fe","Reconquista","(03482) 63-5270",NA,NA,"Sistema Inicial de Gestión Organizacional",2013-08-09,NA
